????????-P,??? C-P,????????-P,??? B-P,????????-P,????????-O,??? C-O,????????-O,??? B-O,????????-O
KAC125    ,CM127     ,          ,          ,KB120     ,KAC125    ,CM127     ,          ,          ,KB120     
CM127     ,CM127     ,          ,          ,CM127     ,CM127     ,CM127     ,          ,          ,CM127     
CM127     ,CM127     ,          ,          ,CM127     ,CM127     ,CM127     ,          ,          ,CM127     
KS231     ,CM147     ,          ,          ,KB230     ,KS231     ,CM147     ,          ,          ,KB230     
KS231     ,CM147     ,          ,          ,KB230     ,KS231     ,CM147     ,          ,          ,KB230     
KB160     ,CM127     ,          ,          ,KB120     ,KB160     ,CM127     ,          ,          ,KB120     
KB160     ,CM127     ,          ,          ,KB120     ,KB160     ,CM127     ,          ,          ,KB160     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KB160     ,          ,          ,CM127     ,KB120     ,KB160     ,          ,          ,CM127     ,KB120     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KB160     ,CM127     ,CM127     ,CM127     ,KB160     ,KB160     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM147     ,CM147     ,CM147     ,KB230     ,KS231     ,CM147     ,CM147     ,CM147     ,KB230     
KS231     ,CM147     ,CM147     ,CM147     ,KB230     ,KS231     ,CM147     ,CM147     ,CM147     ,KB230     
KB230     ,CM127     ,CM127     ,CM127     ,KB230     ,KB230     ,CM127     ,CM127     ,CM127     ,KB230     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS161     ,CM147     ,          ,          ,KB160     ,KS161     ,CM147     ,          ,          ,KB160     
KS121     ,CM127     ,          ,          ,KB120     ,KS121     ,CM127     ,          ,          ,KB120     
KB120     ,CME100    ,          ,          ,KB120     ,KB120     ,CME100    ,          ,          ,KB120     
KB120     ,CME100    ,          ,          ,KB120     ,CM97      ,CM127     ,          ,          ,CM97      
KS121     ,CM127     ,          ,          ,KB120     ,KS121     ,CM127     ,          ,          ,KB120     
KS121     ,CM127     ,          ,          ,KB120     ,KS121     ,CM127     ,          ,          ,KB120     
KB230     ,CM127     ,CM127     ,CM127     ,KB230     ,KB230     ,CM127     ,CM127     ,CM127     ,KB230     
KS121     ,CM127     ,          ,          ,KB120     ,KS121     ,CM127     ,          ,          ,KB120     
KS121     ,CM127     ,          ,          ,KB120     ,KS121     ,CM127     ,          ,          ,KB120     
KI128     ,CM112     ,          ,          ,CM112     ,KI128     ,CM112     ,          ,          ,CM112     
KS161     ,CM112     ,          ,          ,KB160     ,KS161     ,CM112     ,          ,          ,KB160     
KS161     ,CM147     ,          ,          ,KB120     ,KS161     ,CM147     ,          ,          ,KB120     
KS231     ,CM147     ,          ,          ,KB230     ,KS231     ,CM147     ,          ,          ,KB230     
KS231     ,CM147     ,          ,          ,KB230     ,KS231     ,CM147     ,          ,          ,KB230     
KI188     ,CM147     ,          ,          ,CM197     ,KI188     ,CM147     ,          ,          ,CM197     
KS161     ,CM147     ,          ,          ,KB120     ,KS161     ,CM147     ,          ,          ,KB120     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS161     ,CM147     ,CM127     ,CM127     ,CM147     ,KS161     ,CM147     ,CM127     ,CM127     ,CM147     
KAC125    ,          ,          ,CM127     ,CM127     ,KAC125    ,          ,          ,CM127     ,CM127     
KAC125    ,CM112     ,          ,          ,CME100    ,KAC125    ,CM112     ,          ,          ,CME100    
KAC125    ,CM112     ,          ,          ,CME100    ,KAC125    ,CM112     ,          ,          ,CM112     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM127     ,          ,          ,KB230     ,KS231     ,CM127     ,          ,          ,KB230     
KS231     ,CM127     ,          ,          ,KB230     ,KS231     ,CM127     ,          ,          ,KB230     
KS231     ,CM127     ,          ,          ,KB160     ,KS231     ,CM127     ,          ,          ,KB160     
KS231     ,CM127     ,          ,          ,KB160     ,KS231     ,CM127     ,          ,          ,KB160     
KS231     ,CM127     ,          ,          ,KB160     ,KS231     ,CM127     ,          ,          ,KB160     
KAC125    ,CM112     ,          ,          ,CME100    ,KAC125    ,CM112     ,          ,          ,CME100    
KAC125    ,CM112     ,          ,          ,CME100    ,KAC125    ,CM112     ,          ,          ,CME100    
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM147     ,CM147     ,CM147     ,KB230     ,KS231     ,CM147     ,CM147     ,CM147     ,KB230     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KI128     ,CM112     ,CM112     ,CM112     ,CM112     ,KI128     ,CM112     ,CM112     ,CM112     ,CM112     
KI128     ,CM112     ,CM112     ,CM112     ,CM112     ,CM127     ,CM127     ,CM127     ,CM127     ,CM127     
